OrderID,CustomerID,OrderDate,ProductID,Quantity,TotalAmount,Status
1,1,2/4/2024,1,81,3631.84,Shipped
2,2,7/20/2024,2,77,4888.94,Processing
3,3,9/10/2024,3,86,1556.09,Shipped
4,4,7/14/2024,4,25,741.85,Shipped
5,5,9/27/2024,5,37,8189.89,Shipped
6,6,8/31/2024,6,22,3043.64,Processing
7,7,5/24/2024,7,28,6978.77,Delivered
8,8,8/18/2024,8,69,8172.76,Processing
9,9,10/2/2024,9,62,5372.92,Delivered
10,10,2/28/2024,10,55,993.44,Processing
11,11,10/7/2024,11,61,2771.74,Shipped
12,12,11/26/2023,12,48,1108.9,Delivered
13,13,7/12/2024,13,46,9811.58,Processing
14,14,7/4/2024,14,95,3179.55,Delivered
15,15,7/2/2024,15,59,7869.2,Shipped
16,16,9/19/2024,16,65,9905.91,Delivered
17,17,5/1/2024,17,53,8523.91,Processing
18,18,5/14/2024,18,99,28.68,Shipped
19,19,1/25/2024,19,67,4365.75,Shipped
20,20,12/2/2023,20,30,3752.25,Processing
21,21,5/6/2024,21,62,1402.29,Processing
22,22,5/1/2024,22,47,2364.06,Shipped
23,23,10/12/2024,23,68,4.75,Processing
24,24,8/6/2024,24,95,4936.55,Processing
25,25,10/18/2024,25,9,8165.7,Delivered
26,26,3/17/2024,26,69,9183.99,Processing
27,27,7/15/2024,27,18,1643.81,Shipped
28,28,6/11/2024,28,72,6126.18,Shipped
29,29,10/18/2024,29,64,9536.24,Processing
30,30,9/16/2024,30,20,134.27,Delivered
31,31,3/8/2024,31,69,1336.98,Delivered
32,32,11/18/2023,32,63,2429.4,Shipped
33,33,4/17/2024,33,70,5722.32,Delivered
34,34,1/23/2024,34,83,700.45,Processing
35,35,6/6/2024,35,11,1233.22,Delivered
36,36,11/11/2024,36,19,9570.69,Delivered
37,37,1/10/2024,37,71,187.15,Shipped
38,38,10/13/2024,38,23,9259.27,Shipped
39,39,8/1/2024,39,32,8291.19,Shipped
40,40,6/13/2024,40,11,1908.91,Shipped
41,41,6/6/2024,41,9,4519.73,Shipped
42,42,11/25/2023,42,14,7736.58,Delivered
43,43,5/9/2024,43,89,9886.49,Processing
44,44,10/10/2024,44,65,680.92,Shipped
45,45,10/15/2024,45,62,9221.44,Processing
46,46,10/7/2024,46,83,5188.31,Processing
47,47,6/14/2024,47,82,1454.54,Delivered
48,48,6/11/2024,48,23,2948.23,Shipped
49,49,1/27/2024,49,80,1103.46,Processing
50,50,11/23/2023,50,69,4000.44,Delivered
51,51,4/15/2024,51,15,2912.2,Shipped
52,52,8/1/2024,52,95,8834.14,Delivered
53,53,12/31/2023,53,4,6122.45,Delivered
54,54,7/6/2024,54,92,9329.72,Shipped
55,55,3/29/2024,55,51,6791.82,Shipped
56,56,9/3/2024,56,16,7080.47,Processing
57,57,3/21/2024,57,48,907.64,Delivered
58,58,4/28/2024,58,80,8035.13,Shipped
59,59,3/4/2024,59,31,254.89,Delivered
60,60,2/4/2024,60,79,8996.51,Delivered
61,61,12/17/2023,61,62,9902.59,Processing
62,62,10/15/2024,62,8,9288.92,Delivered
63,63,3/5/2024,63,80,7651.81,Delivered
64,64,1/30/2024,64,18,9017.16,Shipped
65,65,2/23/2024,65,5,9685.85,Delivered
66,66,1/28/2024,66,34,4032.45,Processing
67,67,12/27/2023,67,42,4050.02,Delivered
68,68,4/14/2024,68,74,7546.97,Shipped
69,69,3/8/2024,69,92,5871.03,Processing
70,70,2/16/2024,70,100,7638.27,Delivered
71,71,9/13/2024,71,76,9519.74,Shipped
72,72,5/12/2024,72,58,9684.04,Delivered
73,73,12/5/2023,73,39,5732.05,Delivered
74,74,1/22/2024,74,27,6992.79,Processing
75,75,1/1/2024,75,60,7197.86,Processing
76,76,3/2/2024,76,30,2551.9,Shipped
77,77,3/14/2024,77,85,3204.61,Processing
78,78,6/27/2024,78,18,892.35,Processing
79,79,11/28/2023,79,62,7090.35,Processing
80,80,12/21/2023,80,81,8178.99,Processing
81,81,1/7/2024,81,16,9313.87,Delivered
82,82,4/3/2024,82,70,3630.73,Processing
83,83,12/4/2023,83,20,3881.89,Shipped
84,84,7/9/2024,84,15,5819.9,Processing
85,85,8/7/2024,85,81,3911.2,Delivered
86,86,9/26/2024,86,50,1481.27,Delivered
87,87,3/13/2024,87,47,1504.73,Delivered
88,88,12/26/2023,88,71,375.24,Shipped
89,89,3/5/2024,89,4,4404.7,Delivered
90,90,4/2/2024,90,86,9797.06,Processing
91,91,7/18/2024,91,20,6375.04,Delivered
92,92,8/8/2024,92,61,5508.02,Processing
93,93,12/29/2023,93,22,1684.22,Delivered
94,94,4/4/2024,94,81,666.25,Shipped
95,95,7/7/2024,95,16,1993.45,Processing
96,96,4/27/2024,96,68,1003.81,Processing
97,97,10/2/2024,97,18,9764.63,Delivered
98,98,4/7/2024,98,97,2690.87,Shipped
99,99,2/13/2024,99,67,2761.42,Delivered
100,100,3/31/2024,100,4,1112.73,Delivered
101,101,12/1/2023,101,95,5035.5,Processing
102,102,6/27/2024,102,76,3931.04,Delivered
103,103,1/6/2024,103,9,1450.64,Processing
104,104,3/12/2024,104,89,3482.41,Shipped
